Dilution,1.5,SIK,21-02-2020,9:02,NA,NA
S.100 Plate,Source Plate 1,NA,MWP 96,200221-EXT00004-Flex library prep,NA,Eppi
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=5e-8,UseDeionization=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandling=Ask,NA
Source Well,Target Well,volume [µL],Liqued Name,NA,NA,NA
A1,A1,0.37,Template1,NA,NA,NA
B1,B1,0.92,Template2,NA,NA,NA
C1,C1,0.22,Template3,NA,NA,NA
D1,D1,0.32,Template4,NA,NA,NA
E1,E1,0.17,Template5,NA,NA,NA
F1,F1,2.42,Template6,NA,NA,NA
G1,G1,0.38,Template7,NA,NA,NA
H1,H1,0.28,Template8,NA,NA,NA
A2,A2,0.82,Template9,NA,NA,NA
B2,B2,0.44,Template10,NA,NA,NA
C2,C2,0.24,Template11,NA,NA,NA
D2,D2,0.26,Template12,NA,NA,NA
E2,E2,0.74,Template13,NA,NA,NA
F2,F2,0.26,Template14,NA,NA,NA
G2,G2,0.21,Template15,NA,NA,NA
H2,H2,1.06,Template16,NA,NA,NA
A3,A3,0.46,Template17,NA,NA,NA
B3,B3,0.57,Template18,NA,NA,NA
C3,C3,3.00,Template19,NA,NA,NA
D3,D3,0.81,Template20,NA,NA,NA
E3,E3,1.56,Template21,NA,NA,NA
F3,F3,3.00,Template22,NA,NA,NA
G3,G3,0.61,Template23,NA,NA,NA
H3,H3,0.41,Template24,NA,NA,NA
A4,A4,0.33,Template25,NA,NA,NA
B4,B4,0.92,Template26,NA,NA,NA
C4,C4,0.13,Template27,NA,NA,NA
D4,D4,3.00,Template28,NA,NA,NA
E4,E4,0.27,Template29,NA,NA,NA
F4,F4,0.26,Template30,NA,NA,NA
G4,G4,0.36,Template31,NA,NA,NA
H4,H4,0.27,Template32,NA,NA,NA
A5,A5,0.18,Template33,NA,NA,NA
B5,B5,0.15,Template34,NA,NA,NA
C5,C5,0.30,Template35,NA,NA,NA
D5,D5,0.41,Template36,NA,NA,NA
